Player,Club,Age,Position,Nation,Value,Contract Years Left,League
Kylian Mbappé,Paris Saint-Germain,22,attack,France,144000000,1,Ligue 1
Erling Haaland,Borussia Dortmund,21,attack,Norway,117000000,3,Bundesliga
Harry Kane,Tottenham Hotspur,28,attack,England,108000000,3,Premier League
Jadon Sancho,Manchester United,21,attack,England,90000000,5,Premier League
Mohamed Salah,Liverpool FC,29,attack,Egypt,90000000,2,Premier League
Neymar,Paris Saint-Germain,29,attack,Brazil,90000000,4,Ligue 1
Kevin De Bruyne,Manchester City,30,midfield,Belgium,90000000,4,Premier League
Romelu Lukaku,Chelsea FC,28,attack,Belgium,90000000,5,Premier League
Joshua Kimmich,Bayern Munich,26,midfield,Germany,81000000,4,Bundesliga
Bruno Fernandes,Manchester United,26,midfield,Portugal,81000000,4,Premier League
Frenkie de Jong,FC Barcelona,24,midfield,Netherlands,81000000,5,La Liga
Raheem Sterling,Manchester City,26,attack,England,81000000,2,Premier League
Son Heung-min,Tottenham Hotspur,29,attack,"Korea, South",76500000,4,Premier League
Marcus Rashford,Manchester United,23,attack,England,76500000,2,Premier League
Sadio Mané,Liverpool FC,29,attack,Senegal,76500000,2,Premier League
Phil Foden,Manchester City,21,attack,England,72000000,3,Premier League
Lionel Messi,Paris Saint-Germain,34,attack,Argentina,72000000,2,Ligue 1
João Félix,Atlético de Madrid,21,attack,Portugal,72000000,5,La Liga
Marcos Llorente,Atlético de Madrid,26,midfield,Spain,72000000,6,La Liga
Lautaro Martínez,Inter Milan,24,attack,Argentina,72000000,2,Serie A
Pedri,FC Barcelona,18,midfield,Spain,72000000,1,La Liga
Matthijs de Ligt,Juventus FC,22,Defender,Netherlands,67500000,3,Serie A
Trent Alexander-Arnold,Liverpool FC,22,Defender,England,67500000,4,Premier League
Marquinhos,Paris Saint-Germain,27,Defender,Brazil,67500000,3,Ligue 1
Rúben Dias,Manchester City,24,Defender,Portugal,67500000,6,Premier League
Mason Mount,Chelsea FC,22,midfield,England,67500000,3,Premier League
Serge Gnabry,Bayern Munich,26,attack,Germany,63000000,2,Bundesliga
Bernardo Silva,Manchester City,27,midfield,Portugal,63000000,4,Premier League
Federico Chiesa,Juventus FC,23,attack,Italy,63000000,1,Serie A
Raphaël Varane,Manchester United,28,Defender,France,63000000,4,Premier League
Alphonso Davies,Bayern Munich,20,Defender,Canada,63000000,4,Bundesliga
Rodri,Manchester City,25,midfield,Spain,63000000,3,Premier League
Leon Goretzka,Bayern Munich,26,midfield,Germany,63000000,1,Bundesliga
Kai Havertz,Chelsea FC,22,midfield,Germany,63000000,4,Premier League
Mikel Oyarzabal,Real Sociedad,24,attack,Spain,63000000,3,La Liga
Jan Oblak,Atlético de Madrid,28,Goalkeeper,Slovenia,63000000,2,La Liga
Sergej Milinković-Savić,SS Lazio,26,midfield,Serbia,63000000,3,Serie A
Casemiro,Real Madrid,29,midfield,Brazil,63000000,4,La Liga
Declan Rice,West Ham United,22,midfield,England,63000000,3,Premier League
Andrew Robertson,Liverpool FC,27,Defender,Scotland,58500000,5,Premier League
Kingsley Coman,Bayern Munich,25,attack,France,58500000,2,Bundesliga
Bukayo Saka,Arsenal FC,19,midfield,England,58500000,3,Premier League
Gianluigi Donnarumma,Paris Saint-Germain,22,Goalkeeper,Italy,58500000,5,Ligue 1
Timo Werner,Chelsea FC,25,attack,Germany,58500000,4,Premier League
Federico Valverde,Real Madrid,23,midfield,Uruguay,58500000,6,La Liga
Jack Grealish,Manchester City,25,attack,England,58500000,6,Premier League
Nicolò Barella,Inter Milan,24,midfield,Italy,58500000,3,Serie A
Alessandro Bastoni,Inter Milan,22,Defender,Italy,54000000,3,Serie A
Leroy Sané,Bayern Munich,25,attack,Germany,54000000,4,Bundesliga
Ansu Fati,FC Barcelona,18,attack,Spain,54000000,1,La Liga
Marc-André ter Stegen,FC Barcelona,29,Goalkeeper,Germany,54000000,4,La Liga
Thibaut Courtois,Real Madrid,29,Goalkeeper,Belgium,54000000,5,La Liga
José María Giménez,Atlético de Madrid,26,Defender,Uruguay,54000000,4,La Liga
Milan Skriniar,Inter Milan,26,Defender,Slovakia,54000000,2,Serie A
Paul Pogba,Manchester United,28,midfield,France,54000000,1,Premier League
Koke,Atlético de Madrid,29,midfield,Spain,54000000,3,La Liga
Antoine Griezmann,Atlético de Madrid,30,attack,France,54000000,1,La Liga
Jules Koundé,Sevilla FC,22,Defender,France,54000000,3,La Liga
Achraf Hakimi,Paris Saint-Germain,22,Defender,Morocco,54000000,5,Ligue 1
Dayot Upamecano,Bayern Munich,22,Defender,France,54000000,5,Bundesliga
Wilfred Ndidi,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",24,midfield,Nigeria,54000000,3,UNKNOWN
